[0.040s] Invoking command in '/home/ros2_ws/build/sensor_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/ros2_ws/build/sensor_description
[0.254s] -- Found ament_cmake: 1.3.13 (/opt/ros/humble/share/ament_cmake/cmake)
[0.614s] -- Found rclcpp: 16.0.18 (/opt/ros/humble/share/rclcpp/cmake)
[0.760s] -- Found rosidl_generator_c: 3.1.8 (/opt/ros/humble/share/rosidl_generator_c/cmake)
[0.770s] -- Found rosidl_adapter: 3.1.8 (/opt/ros/humble/share/rosidl_adapter/cmake)
[0.797s] -- Found rosidl_generator_cpp: 3.1.8 (/opt/ros/humble/share/rosidl_generator_cpp/cmake)
[0.830s] -- Using all available rosidl_typesupport_c: rosidl_typesupport_fastrtps_c;rosidl_typesupport_introspection_c
[0.869s] -- Using all available rosidl_typesupport_cpp: rosidl_typesupport_fastrtps_cpp;rosidl_typesupport_introspection_cpp
[0.968s] -- Found rmw_implementation_cmake: 6.1.2 (/opt/ros/humble/share/rmw_implementation_cmake/cmake)
[0.973s] -- Found rmw_cyclonedds_cpp: 1.3.4 (/opt/ros/humble/share/rmw_cyclonedds_cpp/cmake)
[1.033s] -- Using RMW implementation 'rmw_cyclonedds_cpp' as default
[1.171s] -- Found rclpy: 3.3.20 (/opt/ros/humble/share/rclpy/cmake)
[1.172s] -- Found rosidl_default_generators: 1.2.0 (/opt/ros/humble/share/rosidl_default_generators/cmake)
[1.192s] -- Found ament_lint_auto: 0.12.15 (/opt/ros/humble/share/ament_lint_auto/cmake)
[1.364s] -- Configuring done
[1.381s] -- Generating done
[1.390s] -- Build files have been written to: /home/ros2_ws/build/sensor_description
[1.474s] Invoked command in '/home/ros2_ws/build/sensor_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/ros2_ws/build/sensor_description
[1.502s] Invoking command in '/home/ros2_ws/build/sensor_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/ros2_ws/build/sensor_description
[1.527s] -- Install configuration: ""
[1.528s] -- Up-to-date: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes
[1.528s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/r200.jpg
[1.528s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/lydar.STL
[1.562s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/d415.stl
[1.613s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/rplidar-a2.stl
[1.830s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/lds.stl
[1.832s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/astra.dae
[1.854s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/plug_collision.stl
[1.854s] -- Up-to-date: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/gemini335_336
[1.855s] -- Installing: /home/ros2_ws/install/sensor_description/share/sensor_description//meshes/gemini335_336/camera_color_frame.STL
